organism,reviewed_count,unreviewed_count,pdb_structures_count,organism_id,lineage,type,type_merge_microbes,superdomain,domain,kingdom,reviewed_count_radius,unreviewed_count_radius,pdb_structures_count_radius
Hepatitis B virus genotype F2 (isolate Argentina/sa16/2000),3,3,1,489501,Artverviricota; Blubervirales; Hepadnaviridae; Hepatitis B virus; Orthohepadnavirus; Pararnavirae; Revtraviricetes; Riboviria; Viruses; hepatitis B virus genotype F,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Marinobacter adhaerens (strain DSM 23420 / HP15),3,3,1,225937,Bacteria; Gammaproteobacteria; Marinobacter; Marinobacteraceae; Pseudomonadales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Serratia plymuthica,3,3,1,82996,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Serratia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Citrobacter amalonaticus,3,3,1,35703,Bacteria; Citrobacter; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Streptomyces melanosporofaciens,3,3,1,67327,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomyces violaceusniger group; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Thermomonospora curvata,3,3,1,2020,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Streptosporangiales; Thermomonospora; Thermomonosporaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Vibrio sp,3,3,1,678,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Phascolopsis gouldii,3,3,1,6442,Annelida; Eukaryota; Golfingiida; Lophotrochozoa; Metazoa; Phascolopsis; Sipuncula; Sipunculidae; Sipunculidea; Spiralia,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Human astrovirus-1,3,3,2,12456,Astroviridae; Mamastrovirus; Mamastrovirus 1; Orthornavirae; Pisuviricota; Riboviria; Stellavirales; Stelpaviricetes; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Streptomyces alboniger,3,3,1,132473,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomyces aurantiacus group; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Lymphocytic choriomeningitis virus (strain WE),3,3,1,11627,Arenaviridae; Bunyavirales; Ellioviricetes; Mammarenavirus; Mammarenavirus choriomeningitidis; Negarnaviricota; Orthornavirae; Polyploviricotina; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Boiga irregularis,3,3,2,92519,Bifurcata; Boiga; Chordata; Colubridae; Colubrinae; Colubroidea; Craniata; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.7978845608028654
SFTS phlebovirus (isolate SFTSV/Human/China/HB29/2010),3,3,1,992212,Bandavirus; Bandavirus dabieense; Bunyavirales; Ellioviricetes; Negarnaviricota; Orthornavirae; Phenuiviridae; Polyploviricotina; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Nostoc sp. (strain PCC 8009),3,3,1,29413,Bacillati; Bacteria; Cyanobacteriota; Cyanophyceae; Nostoc; Nostocaceae; Nostocales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Komagataeibacter europaeus,3,3,1,33995,Acetobacteraceae; Alphaproteobacteria; Bacteria; Komagataeibacter; Pseudomonadota; Rhodospirillales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Canarypox virus,3,3,1,44088,Avipoxvirus; Bamfordvirae; Chitovirales; Chordopoxvirinae; Nucleocytoviricota; Pokkesviricetes; Poxviridae; Varidnaviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Artemisia spiciformis,3,3,2,235357,Anthemideae; Artemisia; Artemisiinae; Asteraceae; Asterales; Asteroideae; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; asterids; campanulids; eudicotyledons,Plant,Plant,Cellular Life,Eukaryota,Plant,0.9772050238058398,0.9772050238058398,0.7978845608028654
Megabalanus rosa,3,3,1,6680,Arthropoda; Balanidae; Balanoidea; Balanomorpha; Cirripedia; Crustacea; Ecdysozoa; Eukaryota; Megabalaninae; Megabalanus; Metazoa; Multicrustacea; Thoracica; Thoracicalcarea,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Plasmodium falciparum (isolate Wellcome),3,3,2,5848,Aconoidasida; Alveolata; Apicomplexa; Eukaryota; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Laverania); Sar,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,0.9772050238058398,0.9772050238058398,0.7978845608028654
Blotched snakehead virus,3,3,1,311176,Birnaviridae; Blosnavirus; Blosnavirus channae; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Erythrina crista-galli,3,3,1,49817,50 kb inversion clade; Embryophyta; Erythrina; Eukaryota; Fabaceae; Fabales; Gunneridae; Magnoliopsida; NPAAA clade; Papilionoideae; Pentapetalae; Phaseoleae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons; fabids; indigoferoid/millettioid clade; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,0.9772050238058398,0.9772050238058398,0.5641895835477563
Leptodactylus labyrinthicus,3,3,3,326590,Amphibia; Anura; Batrachia; Chordata; Craniata; Eukaryota; Euteleostomi; Hyloidea; Leptodactylidae; Leptodactylinae; Leptodactylus; Metazoa; Neobatrachia; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.9772050238058398
Eleginops maclovinus,3,3,2,56733,Acanthomorphata; Actinopterygii; Chordata; Craniata; Eleginopidae; Eleginops; Eukaryota; Eupercaria; Euteleostomi; Metazoa; Neopterygii; Neoteleostei; Notothenioidei; Perciformes; Teleostei; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.7978845608028654
Penicillium simplicissimum,3,3,2,69488,Ascomycota; Aspergillaceae; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Penicillium; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,0.9772050238058398,0.9772050238058398,0.7978845608028654
Eptatretus burgeri,3,3,1,7764,Chordata; Craniata; Cyclostomata; Eptatretinae; Eptatretus; Eukaryota; Metazoa; Myxini; Myxinidae; Myxiniformes; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Pseudomonas syringae pv. pisi,3,3,1,59510,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas; Pseudomonas syringae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Rhinella arenarum,3,3,2,38577,Amphibia; Anura; Batrachia; Bufonidae; Chordata; Craniata; Eukaryota; Euteleostomi; Hyloidea; Metazoa; Neobatrachia; Rhinella; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.7978845608028654
Hepatitis B virus genotype B2 (isolate Vietnam/16091/1992),3,3,1,489462,Artverviricota; Blubervirales; Hepadnaviridae; Hepatitis B virus; Orthohepadnavirus; Pararnavirae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Opisthocomus hoazin,3,3,1,30419,Archelosauria; Archosauria; Aves; Chordata; Coelurosauria; Craniata; Dinosauria; Eukaryota; Euteleostomi; Metazoa; Neoaves; Neognathae; Opisthocomidae; Opisthocomiformes; Opisthocomus; Saurischia; Theropoda; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Desulfovibrio desulfuricans,3,3,1,876,Bacteria; Desulfovibrio; Desulfovibrionaceae; Desulfovibrionales; Desulfovibrionia; Thermodesulfobacteriota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Aspergillus giganteus,3,3,2,5060,Ascomycota; Aspergillaceae; Aspergillus; Aspergillus subgen. Fumigati; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,0.9772050238058398,0.9772050238058398,0.7978845608028654
Vibrio phage phiVC8,3,3,2,1076759,Caudoviricetes; Duplodnaviria; Enhodamvirus; Enhodamvirus VC8; Heunggongvirae; Uroviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Ostrinia furnacalis,3,3,1,93504,Arthropoda; Crambidae; Ditrysia; Ecdysozoa; Endopterygota; Eukaryota; Glossata; Hexapoda; Insecta; Lepidoptera; Metazoa; Neoptera; Ostrinia; Pterygota; Pyraloidea; Pyraustinae,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Clostridium scatologenes,3,3,2,1548,Bacillati; Bacillota; Bacteria; Clostridia; Clostridiaceae; Clostridium; Eubacteriales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.7978845608028654
Cyberlindnera saturnus,3,3,1,907340,Ascomycota; Cyberlindnera; Dikarya; Eukaryota; Fungi; Phaffomycetaceae; Phaffomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,0.9772050238058398,0.9772050238058398,0.5641895835477563
Oryctes rhinoceros,3,3,1,72550,Arthropoda; Coleoptera; Dynastinae; Ecdysozoa; Endopterygota; Eukaryota; Hexapoda; Insecta; Metazoa; Neoptera; Oryctes; Polyphaga; Pterygota; Scarabaeidae; Scarabaeiformia,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Turkey astrovirus 2,3,3,1,246343,Astroviridae; Avastrovirus; Avastrovirus 3; Orthornavirae; Pisuviricota; Riboviria; Stellavirales; Stelpaviricetes; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Acinetobacter sp. (strain Tol 5),3,3,1,710648,Acinetobacter; Bacteria; Gammaproteobacteria; Moraxellaceae; Moraxellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Human herpesvirus 2 (strain G),3,3,1,10314,Alphaherpesvirinae; Duplodnaviria; Herpesvirales; Herviviricetes; Heunggongvirae; Human herpesvirus 2; Orthoherpesviridae; Peploviricota; Simplexvirus; Simplexvirus humanalpha2; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Cellvibrio japonicus,3,3,1,155077,Bacteria; Cellvibrio; Cellvibrionaceae; Cellvibrionales; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013),3,3,1,2043570,Amarillovirales; Flasuviricetes; Flaviviridae; Kitrinoviricota; Orthoflavivirus; Orthoflavivirus zikaense; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Streptomyces rugosporus,3,3,3,295838,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.9772050238058398
Taxus chinensis,3,3,1,29808,Conifers II; Cupressales; Embryophyta; Eukaryota; Pinidae; Pinopsida; Spermatophyta; Streptophyta; Taxaceae; Taxus; Tracheophyta; Viridiplantae,Plant,Plant,Cellular Life,Eukaryota,Plant,0.9772050238058398,0.9772050238058398,0.5641895835477563
Vespa xanthoptera,3,3,1,7448,Aculeata; Apocrita; Arthropoda; Ecdysozoa; Endopterygota; Eukaryota; Hexapoda; Hymenoptera; Insecta; Metazoa; Neoptera; Pterygota; Vespa; Vespidae; Vespinae; Vespoidea,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Geobacillus stearothermophilus (strain DSM 13240 / CIP 106956 / 10),3,3,3,272567,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Geobacillus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.9772050238058398
Sendai virus (strain Enders),3,3,1,11194,Feraresvirinae; Haploviricotina; Monjiviricetes; Mononegavirales; Negarnaviricota; Orthornavirae; Paramyxoviridae; Respirovirus; Respirovirus muris; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Lysobacter antibioticus,3,3,1,84531,Bacteria; Gammaproteobacteria; Lysobacter; Lysobacteraceae; Lysobacterales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Klebsiella phage KP34,3,3,1,674081,Autographiviridae; Caudoviricetes; Drulisvirus; Drulisvirus KP34; Duplodnaviria; Heunggongvirae; Slopekvirinae; Uroviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Tomato mosaic virus (strain L),3,3,1,12252,Alsuviricetes; Kitrinoviricota; Martellivirales; Orthornavirae; Riboviria; Tobacco mosaic virus; Tobamovirus; Virgaviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Striped jack nervous necrosis virus,3,3,1,35297,Betanodavirus; Kitrinoviricota; Magsaviricetes; Nodamuvirales; Nodaviridae; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Sudan ebolavirus (strain Boniface-76),3,3,2,128948,Filoviridae; Haploviricotina; Monjiviricetes; Mononegavirales; Negarnaviricota; Orthoebolavirus; Orthoebolavirus sudanense; Orthornavirae; Riboviria; Sudan ebolavirus; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Pygoscelis papua,3,3,2,30457,Aequornithes; Archelosauria; Archosauria; Aves; Chordata; Coelurosauria; Craniata; Dinosauria; Eukaryota; Euteleostomi; Metazoa; Neoaves; Neognathae; Pygoscelis; Saurischia; Spheniscidae; Sphenisciformes; Theropoda; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.7978845608028654
Human picobirnavirus (strain Human/Thailand/Hy005102/-),3,3,2,647332,Duplopiviricetes; Durnavirales; Orthopicobirnavirus; Orthopicobirnavirus hominis; Orthornavirae; Picobirnaviridae; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Trichinella spiralis,3,3,1,6334,Dorylaimia; Ecdysozoa; Enoplea; Eukaryota; Metazoa; Nematoda; Trichinella; Trichinellida; Trichinellidae,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Rotavirus A (strain RVA/SA11-4F/G3P6[1]),3,3,1,36436,Duplornaviricota; Orthornavirae; Reovirales; Resentoviricetes; Riboviria; Rotavirus; Rotavirus A; Sedoreoviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Parathermosynechococcus lividus,3,3,1,33070,Acaryochloridales; Bacillati; Bacteria; Cyanobacteriota; Cyanophyceae; Parathermosynechococcus; Thermosynechococcaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Methylotuvimicrobium alcaliphilum (strain DSM 19304 / NCIMB 14124 / VKM B-2133 / 20Z),3,3,1,1091494,Bacteria; Gammaproteobacteria; Methylococcaceae; Methylococcales; Methylotuvimicrobium; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Streptomyces caespitosus,3,3,1,53502,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Hebeloma cylindrosporum,3,3,1,76867,Agaricales; Agaricineae; Agaricomycetes; Agaricomycetidae; Agaricomycotina; Basidiomycota; Dikarya; Eukaryota; Fungi; Hebeloma; Hymenogastraceae,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,0.9772050238058398,0.9772050238058398,0.5641895835477563
Ceratogyrus marshalli,3,3,2,316287,Arachnida; Araneae; Arthropoda; Ceratogyrus; Chelicerata; Ecdysozoa; Eukaryota; Metazoa; Mygalomorphae; Theraphosidae,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.7978845608028654
Porphyromonas endodontalis (strain ATCC 35406 / DSM 24491 / JCM 8526 / CCUG 16442 / BCRC 14492 / NCTC 13058 / HG 370),3,3,1,553175,Bacteria; Bacteroidales; Bacteroidia; Bacteroidota; Porphyromonadaceae; Porphyromonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Primate bocaparvovirus 1 (strain Human bocavirus 1 type 1),3,3,2,689403,Bocaparvovirus; Bocaparvovirus primate1; Cossaviricota; Monodnaviria; Parvoviridae; Parvovirinae; Piccovirales; Quintoviricetes; Shotokuvirae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Semliki forest virus,3,3,2,11033,Alphavirus; Alsuviricetes; Kitrinoviricota; Martellivirales; Orthornavirae; Riboviria; Togaviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010),3,3,1,2316109,Amarillovirales; Flasuviricetes; Flaviviridae; Kitrinoviricota; Orthoflavivirus; Orthoflavivirus zikaense; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Boiga dendrophila,3,3,1,46286,Bifurcata; Boiga; Chordata; Colubridae; Colubrinae; Colubroidea; Craniata; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Avian infectious bursal disease virus (strain Chicken/Cuba/Soroa/1998),3,3,1,645118,Avibirnavirus; Avibirnavirus gumboroense; Birnaviridae; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Streptomyces purpurascens,3,3,3,1924,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.9772050238058398
Moraxella sp. (strain TA144),3,3,1,77152,Bacteria; Gammaproteobacteria; Moraxella; Moraxellaceae; Moraxellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Naja pallida,3,3,2,8658,Bifurcata; Chordata; Colubroidea; Craniata; Elapidae; Elapinae; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Naja; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.7978845608028654
Nodamura virus (strain Mag115),3,3,2,914672,Alphanodavirus; Kitrinoviricota; Magsaviricetes; Nodamura virus; Nodamuvirales; Nodaviridae; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Escherichia coli (strain ATCC 25922 / DSM 1103 / LMG 8223 / NCIMB 12210 / NCTC 12241 / WDCM 00013 / Seattle 1946),3,3,1,1322345,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.5641895835477563
Rotavirus A (strain RVA/SA11-Patton/G3P[X]),3,3,1,36434,Duplornaviricota; Orthornavirae; Reovirales; Resentoviricetes; Riboviria; Rotavirus; Rotavirus A; Sedoreoviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Eratigena agrestis,3,3,1,1686644,Agelenidae; Arachnida; Araneae; Araneomorphae; Arthropoda; Chelicerata; Ecdysozoa; Entelegynae; Eratigena; Eukaryota; Metazoa,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Tobacco mosaic virus (strain vulgare),3,3,1,12243,Alsuviricetes; Kitrinoviricota; Martellivirales; Orthornavirae; Riboviria; Tobacco mosaic virus; Tobamovirus; Virgaviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Turnip yellow mosaic virus,3,3,2,12154,Alsuviricetes; Kitrinoviricota; Orthornavirae; Riboviria; Tymovirales; Tymoviridae; Tymovirus; Tymovirus brassicae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Oceanicola granulosus (strain ATCC BAA-861 / DSM 15982 / KCTC 12143 / HTCC2516),3,3,2,314256,Alphaproteobacteria; Bacteria; Oceanicola; Pseudomonadota; Rhodobacterales; Roseobacteraceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,0.9772050238058398,0.9772050238058398,0.7978845608028654
Hepatitis B virus genotype E (isolate Cote d'Ivoire/ABI-212/2003),3,3,1,489498,Artverviricota; Blubervirales; Hepadnaviridae; Hepatitis B virus; Orthohepadnavirus; Pararnavirae; Revtraviricetes; Riboviria; Viruses; hepatitis B virus genotype E,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Brachypelma albiceps,3,3,1,503929,Arachnida; Araneae; Arthropoda; Brachypelma; Chelicerata; Ecdysozoa; Eukaryota; Metazoa; Mygalomorphae; Theraphosidae,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Infectious pancreatic necrosis virus (strain Jasper),3,3,2,11003,Aquabirnavirus; Aquabirnavirus salmonidae; Birnaviridae; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Thaumatococcus daniellii,3,3,2,4621,Embryophyta; Eukaryota; Liliopsida; Magnoliopsida; Marantaceae; Spermatophyta; Streptophyta; Thaumatococcus; Tracheophyta; Viridiplantae; Zingiberales,Plant,Plant,Cellular Life,Eukaryota,Plant,0.9772050238058398,0.9772050238058398,0.7978845608028654
Thermus phage G20c,3,3,3,1406341,Caudoviricetes; Duplodnaviria; Heunggongvirae; Oshimavirus; Uroviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.9772050238058398
Anadara inaequivalvis,3,3,3,2784303,Anadara; Arcidae; Arcoida; Arcoidea; Autobranchia; Bivalvia; Eukaryota; Lophotrochozoa; Metazoa; Mollusca; Pteriomorphia; Spiralia,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.9772050238058398
Drosophila x virus (isolate Chung/1996),3,3,1,654931,Birnaviridae; Entomobirnavirus; Entomobirnavirus drosophilae; Orthornavirae; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Heriaeus mellotteei,3,3,1,2337432,Arachnida; Araneae; Araneomorphae; Arthropoda; Chelicerata; Dionycha; Ecdysozoa; Entelegynae; Eukaryota; Heriaeus; Metazoa; Thomisidae,Animal,Animal,Cellular Life,Eukaryota,Animal,0.9772050238058398,0.9772050238058398,0.5641895835477563
Grapevine fanleaf virus,3,3,1,12274,Comovirinae; Nepovirus; Nepovirus foliumflabelli; Orthornavirae; Picornavirales; Pisoniviricetes; Pisuviricota; Riboviria; Secoviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
Influenza A virus (strain A/Duck/Alberta/60/1976 H12N5),3,3,2,385582,Alphainfluenzavirus; Alphainfluenzavirus influenzae; Articulavirales; Influenza A virus; Insthoviricetes; Negarnaviricota; Orthomyxoviridae; Orthornavirae; Polyploviricotina; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Staphylococcus phage 80alpha,3,3,2,53369,Azeredovirinae; Caudoviricetes; Dubowvirus; Duplodnaviria; Heunggongvirae; Uroviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.7978845608028654
Tobacco mild green mosaic virus,3,3,1,12241,Alsuviricetes; Kitrinoviricota; Martellivirales; Orthornavirae; Riboviria; Tobamovirus; Virgaviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,0.9772050238058398,0.9772050238058398,0.5641895835477563
